data,produto,qtd
2024-04-03,Torta de Morango (fatia),1.0
2024-04-03,Pão Integral (kg),2.09
2024-04-03,Café Expresso,22.0
2024-04-04,Torta de Morango (fatia),2.0
2024-04-04,Pão Doce,1.0
2024-04-04,Pão Francês,10.0
2024-04-04,Suco de Laranja,3.0
2024-04-04,Bolo de Cenoura (fatia),3.0
2024-04-04,Biscoito Caseiro (kg),1.42
2024-04-04,Suco de Laranja,2.0
2024-04-04,Café Expresso,27.0
2024-04-04,Pão de Queijo,18.0
2024-04-04,Suco de Laranja,3.0
2024-04-04,Suco de Laranja,1.0
2024-04-04,Pão de Queijo,1.0
2024-04-04,Bolo de Cenoura (fatia),2.0
2024-04-04,Pão de Queijo,8.0
2024-04-04,Pão de Queijo,9.0
2024-04-04,Torta de Morango (fatia),1.0
2024-04-04,Pão Integral (kg),1.58
2024-04-04,Pão Francês,27.0
2024-04-04,Pão Doce,3.0
2024-04-04,Café Expresso,27.0
2024-04-04,Pão de Queijo,4.0
2024-04-04,Suco de Laranja,2.0
2024-04-04,Café Expresso,13.0
2024-04-04,Biscoito Caseiro (kg),1.57
2024-04-04,Pão Doce,2.0
2024-04-04,Biscoito Caseiro (kg),1.92
2024-04-04,Bolo de Cenoura (fatia),2.0
2024-04-04,Pão Integral (kg),1.1
2024-04-04,Café Expresso,24.0
2024-04-04,Pão de Queijo,15.0
2024-04-04,Biscoito Caseiro (kg),1.18
2024-04-04,Pão Integral (kg),1.7
2024-04-04,Café Expresso,18.0
2024-04-04,Pão de Queijo,10.0
2024-04-04,Torta de Morango (fatia),3.0
2024-04-04,Pão Francês,27.0
2024-04-04,Pão de Queijo,10.0
2024-04-04,Suco de Laranja,3.0
2024-04-04,Pão Francês,11.0
2024-04-04,Café Expresso,7.0
2024-04-04,Pão Francês,9.0
2024-04-04,Torta de Morango (fatia),3.0
2024-04-04,Baguete,4.0
2024-04-04,Biscoito Caseiro (kg),1.84
2024-04-04,Pão Doce,8.0
2024-04-04,Pão Integral (kg),0.56
2024-04-04,Café Expresso,2.0
2024-04-04,Torta de Morango (fatia),3.0
2024-04-04,Pão Doce,4.0
2024-04-04,Biscoito Caseiro (kg),0.75
2024-04-04,Baguete,2.0
2024-04-04,Suco de Laranja,1.0
2024-04-04,Bolo de Cenoura (fatia),3.0
2024-04-04,Suco de Laranja,8.0
2024-04-04,Bolo de Cenoura (fatia),3.0
2024-04-04,Bolo de Cenoura (fatia),2.0
2024-04-04,Suco de Laranja,8.0
2024-04-04,Baguete,3.0
2024-04-04,Pão Integral (kg),1.65
2024-04-04,Baguete,8.0
2024-04-04,Pão Integral (kg),0.8
2024-04-04,Suco de Laranja,2.0
2024-04-04,Pão de Queijo,16.0
2024-04-04,Café Expresso,28.0
2024-04-04,Pão de Queijo,27.0
2024-04-04,Café Expresso,22.0
2024-04-04,Pão Francês,6.0
2024-04-05,Suco de Laranja,4.0
2024-04-05,Pão de Queijo,24.0
2024-04-05,Café Expresso,18.0
2024-04-05,Pão Francês,13.0
2024-04-05,Pão Doce,4.0
2024-04-05,Pão Francês,10.0
2024-04-05,Suco de Laranja,1.0
2024-04-05,Bolo de Cenoura (fatia),1.0
2024-04-05,Pão Francês,24.0
2024-04-05,Pão de Queijo,27.0
2024-04-05,Café Expresso,13.0
2024-04-05,Pão Doce,3.0
2024-04-05,Torta de Morango (fatia),3.0
2024-04-05,Bolo de Cenoura (fatia),1.0
2024-04-05,Pão Francês,3.0
2024-04-05,Pão Integral (kg),1.64
2024-04-05,Pão Integral (kg),0.91
2024-04-05,Baguete,6.0
2024-04-05,Baguete,6.0
2024-04-05,Biscoito Caseiro (kg),1.36
2024-04-05,Baguete,6.0
2024-04-05,Pão Doce,4.0
2024-04-05,Torta de Morango (fatia),2.0
2024-04-05,Pão Integral (kg),0.46
2024-04-05,Torta de Morango (fatia),2.0
2024-04-05,Bolo de Cenoura (fatia),2.0
2024-04-05,Pão de Queijo,11.0
2024-04-05,Suco de Laranja,2.0
2024-04-05,Pão Doce,7.0
2024-04-05,Pão Doce,1.0
2024-04-05,Pão Doce,2.0
2024-04-05,Suco de Laranja,6.0
2024-04-05,Baguete,3.0
2024-04-05,Bolo de Cenoura (fatia),1.0
2024-04-05,Torta de Morango (fatia),2.0
2024-04-05,Suco de Laranja,6.0
2024-04-05,Biscoito Caseiro (kg),0.38
2024-04-05,Baguete,6.0
2024-04-05,Pão de Queijo,25.0
2024-04-05,Suco de Laranja,1.0
2024-04-05,Pão Doce,3.0
2024-04-05,Bolo de Cenoura (fatia),2.0
2024-04-05,Pão Francês,7.0
2024-04-05,Pão Integral (kg),1.93
2024-04-05,Baguete,7.0
2024-04-05,Torta de Morango (fatia),1.0
2024-04-05,Biscoito Caseiro (kg),1.29
2024-04-05,Pão Francês,5.0
2024-04-05,Bolo de Cenoura (fatia),3.0
2024-04-05,Biscoito Caseiro (kg),1.42
2024-04-05,Torta de Morango (fatia),2.0
2024-04-05,Pão Francês,11.0
2024-04-05,Pão Francês,30.0
2024-04-05,Bolo de Cenoura (fatia),1.0
2024-04-05,Baguete,1.0
2024-04-05,Café Expresso,22.0
2024-04-05,Bolo de Cenoura (fatia),1.0
2024-04-05,Torta de Morango (fatia),2.0
2024-04-05,Bolo de Cenoura (fatia),2.0
2024-04-05,Pão Doce,2.0
2024-04-05,Bolo de Cenoura (fatia),1.0
2024-04-05,Café Expresso,26.0
2024-04-05,Café Expresso,1.0
2024-04-05,Pão Francês,1.0
2024-04-05,Pão de Queijo,22.0
2024-04-05,Torta de Morango (fatia),3.0
2024-04-05,Pão Doce,2.0
2024-04-05,Bolo de Cenoura (fatia),1.0
2024-04-05,Pão Francês,26.0
2024-04-05,Suco de Laranja,3.0
2024-04-05,Baguete,1.0
2024-04-05,Pão Integral (kg),0.57
2024-04-05,Bolo de Cenoura (fatia),2.0
2024-04-05,Pão Francês,22.0
2024-04-05,Café Expresso,15.0
2024-04-05,Torta de Morango (fatia),3.0
2024-04-05,Torta de Morango (fatia),2.0
2024-04-05,Bolo de Cenoura (fatia),3.0
2024-04-05,Pão de Queijo,10.0
2024-04-06,Baguete,1.0
2024-04-06,Pão Integral (kg),1.88
2024-04-06,Pão de Queijo,19.0
2024-04-06,Bolo de Cenoura (fatia),3.0
2024-04-06,Suco de Laranja,1.0
2024-04-06,Café Expresso,20.0
2024-04-06,Pão de Queijo,22.0
2024-04-06,Café Expresso,16.0
2024-04-06,Bolo de Cenoura (fatia),1.0
2024-04-06,Suco de Laranja,2.0
2024-04-06,Bolo de Cenoura (fatia),2.0
2024-04-06,Suco de Laranja,2.0
2024-04-06,Suco de Laranja,6.0
2024-04-06,Suco de Laranja,7.0
2024-04-06,Pão Francês,25.0
2024-04-06,Pão Integral (kg),1.49
2024-04-06,Pão Francês,26.0
2024-04-06,Café Expresso,24.0
2024-04-06,Pão Integral (kg),1.54
2024-04-06,Suco de Laranja,3.0
2024-04-06,Biscoito Caseiro (kg),0.42
2024-04-06,Pão Integral (kg),0.34
2024-04-06,Suco de Laranja,6.0
2024-04-06,Pão Francês,23.0
2024-04-06,Pão de Queijo,16.0
2024-04-06,Pão Francês,3.0
2024-04-06,Pão Integral (kg),0.34
2024-04-06,Baguete,4.0
2024-04-06,Café Expresso,4.0
2024-04-06,Café Expresso,11.0
2024-04-06,Pão Integral (kg),0.51
2024-04-06,Biscoito Caseiro (kg),0.29
2024-04-06,Pão Francês,1.0
2024-04-06,Pão de Queijo,22.0
2024-04-06,Pão de Queijo,5.0
2024-04-06,Torta de Morango (fatia),3.0
2024-04-06,Suco de Laranja,2.0
2024-04-06,Café Expresso,30.0
2024-04-06,Pão de Queijo,8.0
2024-04-06,Pão de Queijo,22.0
2024-04-06,Pão Francês,21.0
2024-04-07,Pão Integral (kg),2.06
2024-04-07,Pão Francês,11.0
2024-04-07,Café Expresso,19.0
2024-04-07,Pão de Queijo,4.0
2024-04-07,Suco de Laranja,1.0
2024-04-07,Café Expresso,27.0
2024-04-07,Pão Doce,8.0
2024-04-07,Café Expresso,8.0
2024-04-07,Pão Integral (kg),0.4
2024-04-07,Café Expresso,27.0
2024-04-07,Pão de Queijo,25.0
2024-04-07,Baguete,1.0
2024-04-07,Bolo de Cenoura (fatia),3.0
2024-04-07,Bolo de Cenoura (fatia),2.0
2024-04-07,Pão Integral (kg),2.14
2024-04-07,Pão de Queijo,1.0
2024-04-07,Baguete,8.0
2024-04-07,Bolo de Cenoura (fatia),2.0
2024-04-07,Pão Francês,25.0
2024-04-07,Suco de Laranja,2.0
2024-04-07,Pão de Queijo,24.0
2024-04-07,Suco de Laranja,3.0
2024-04-07,Pão Francês,17.0
2024-04-07,Bolo de Cenoura (fatia),2.0
2024-04-07,Pão Francês,24.0
2024-04-07,Pão Integral (kg),2.25
2024-04-07,Baguete,2.0
2024-04-07,Pão Francês,24.0
2024-04-07,Pão Francês,3.0
2024-04-07,Bolo de Cenoura (fatia),3.0
2024-04-07,Pão Integral (kg),0.54
2024-04-07,Baguete,6.0
2024-04-07,Pão Doce,4.0
2024-04-07,Torta de Morango (fatia),2.0
2024-04-07,Pão de Queijo,24.0
2024-04-07,Suco de Laranja,8.0
2024-04-07,Pão Francês,7.0
2024-04-07,Pão de Queijo,1.0
2024-04-07,Pão Francês,3.0
2024-04-07,Pão Doce,2.0
2024-04-07,Baguete,8.0
2024-04-07,Biscoito Caseiro (kg),0.63
2024-04-07,Torta de Morango (fatia),3.0
2024-04-07,Pão Doce,1.0
2024-04-07,Bolo de Cenoura (fatia),2.0
2024-04-07,Bolo de Cenoura (fatia),1.0
2024-04-07,Pão Doce,5.0
2024-04-07,Biscoito Caseiro (kg),1.3
2024-04-07,Biscoito Caseiro (kg),0.79
2024-04-07,Café Expresso,23.0
2024-04-07,Torta de Morango (fatia),3.0
2024-04-07,Pão Integral (kg),0.26
2024-04-07,Suco de Laranja,5.0
2024-04-07,Baguete,5.0
2024-04-07,Baguete,6.0
2024-04-07,Pão Francês,17.0
2024-04-07,Bolo de Cenoura (fatia),1.0
2024-04-07,Bolo de Cenoura (fatia),3.0
2024-04-07,Pão Integral (kg),1.47
2024-04-07,Pão Integral (kg),0.26
2024-04-07,Suco de Laranja,8.0
2024-04-07,Torta de Morango (fatia),3.0
2024-04-07,Pão Doce,7.0
2024-04-07,Suco de Laranja,4.0
2024-04-07,Suco de Laranja,1.0
2024-04-07,Torta de Morango (fatia),2.0
2024-04-07,Bolo de Cenoura (fatia),2.0
2024-04-07,Pão de Queijo,23.0
2024-04-07,Biscoito Caseiro (kg),2.44
2024-04-07,Torta de Morango (fatia),3.0
2024-04-07,Pão Francês,22.0
2024-04-07,Biscoito Caseiro (kg),1.23
2024-04-07,Suco de Laranja,5.0
2024-04-08,Pão Doce,3.0
2024-04-08,Suco de Laranja,4.0
2024-04-08,Bolo de Cenoura (fatia),1.0
2024-04-08,Café Expresso,15.0
2024-04-08,Baguete,4.0
2024-04-08,Pão Doce,7.0
2024-04-08,Pão de Queijo,26.0
2024-04-08,Pão de Queijo,1.0
2024-04-08,Pão Francês,10.0
2024-04-08,Pão de Queijo,2.0
2024-04-08,Pão de Queijo,28.0
2024-04-08,Suco de Laranja,4.0
2024-04-08,Café Expresso,29.0
2024-04-08,Pão Francês,2.0
2024-04-08,Baguete,7.0
2024-04-08,Pão Francês,13.0
2024-04-08,Café Expresso,4.0
2024-04-08,Pão Francês,1.0
2024-04-08,Suco de Laranja,7.0
2024-04-08,Bolo de Cenoura (fatia),1.0
2024-04-08,Pão Doce,6.0
2024-04-08,Bolo de Cenoura (fatia),1.0
2024-04-08,Biscoito Caseiro (kg),1.55
2024-04-08,Pão de Queijo,17.0
2024-04-08,Bolo de Cenoura (fatia),3.0
2024-04-08,Suco de Laranja,8.0
2024-04-08,Pão Integral (kg),1.99
2024-04-08,Pão Integral (kg),0.45
2024-04-08,Torta de Morango (fatia),1.0
2024-04-08,Pão Doce,5.0
2024-04-08,Torta de Morango (fatia),3.0
2024-04-08,Bolo de Cenoura (fatia),3.0
2024-04-08,Biscoito Caseiro (kg),1.49
2024-04-08,Torta de Morango (fatia),1.0
2024-04-08,Bolo de Cenoura (fatia),2.0
2024-04-08,Pão Doce,7.0
2024-04-08,Café Expresso,25.0
2024-04-08,Pão Integral (kg),1.16
2024-04-08,Pão Integral (kg),0.23
2024-04-08,Pão Francês,29.0
2024-04-08,Biscoito Caseiro (kg),0.31
2024-04-08,Pão Doce,4.0
2024-04-08,Pão Doce,8.0
2024-04-08,Torta de Morango (fatia),3.0
2024-04-08,Bolo de Cenoura (fatia),1.0
2024-04-08,Pão Doce,6.0
2024-04-08,Torta de Morango (fatia),3.0
2024-04-08,Baguete,3.0
2024-04-08,Café Expresso,20.0
2024-04-08,Baguete,6.0
2024-04-08,Pão Doce,5.0
2024-04-08,Biscoito Caseiro (kg),0.95
2024-04-08,Pão de Queijo,11.0
2024-04-08,Biscoito Caseiro (kg),1.57
2024-04-08,Pão de Queijo,30.0
2024-04-08,Pão de Queijo,22.0
2024-04-08,Suco de Laranja,4.0
2024-04-08,Pão Francês,1.0
2024-04-08,Bolo de Cenoura (fatia),2.0
2024-04-08,Pão Integral (kg),1.84
2024-04-08,Pão Doce,8.0
2024-04-08,Biscoito Caseiro (kg),1.97
2024-04-08,Pão Integral (kg),2.38
2024-04-08,Bolo de Cenoura (fatia),1.0
2024-04-08,Bolo de Cenoura (fatia),1.0
2024-04-08,Pão Integral (kg),1.59
2024-04-08,Café Expresso,27.0
2024-04-08,Pão de Queijo,9.0
2024-04-08,Pão Integral (kg),2.39
2024-04-08,Torta de Morango (fatia),2.0
2024-04-08,Café Expresso,3.0
2024-04-08,Torta de Morango (fatia),3.0
2024-04-08,Pão Francês,22.0
2024-04-08,Bolo de Cenoura (fatia),3.0
2024-04-08,Suco de Laranja,3.0
2024-04-08,Pão Integral (kg),0.96
2024-04-08,Biscoito Caseiro (kg),1.19
2024-04-08,Bolo de Cenoura (fatia),3.0
2024-04-08,Biscoito Caseiro (kg),1.03
2024-04-08,Suco de Laranja,5.0
2024-04-09,Baguete,2.0
2024-04-09,Torta de Morango (fatia),2.0
2024-04-09,Café Expresso,20.0
2024-04-09,Bolo de Cenoura (fatia),1.0
2024-04-09,Pão Doce,7.0
2024-04-09,Baguete,8.0
2024-04-09,Café Expresso,7.0
2024-04-09,Pão Francês,7.0
2024-04-09,Pão de Queijo,21.0
2024-04-09,Café Expresso,1.0
2024-04-09,Café Expresso,20.0
2024-04-09,Suco de Laranja,2.0
2024-04-09,Biscoito Caseiro (kg),1.96
2024-04-09,Pão de Queijo,21.0
2024-04-09,Café Expresso,16.0
2024-04-09,Suco de Laranja,2.0
2024-04-09,Pão de Queijo,15.0
2024-04-09,Bolo de Cenoura (fatia),1.0
2024-04-09,Baguete,2.0
2024-04-09,Baguete,4.0
2024-04-09,Biscoito Caseiro (kg),2.36
2024-04-09,Torta de Morango (fatia),2.0
2024-04-09,Pão Francês,29.0
2024-04-09,Biscoito Caseiro (kg),0.61
2024-04-09,Biscoito Caseiro (kg),0.35
2024-04-09,Biscoito Caseiro (kg),1.78
2024-04-09,Pão de Queijo,29.0
2024-04-09,Bolo de Cenoura (fatia),1.0
2024-04-09,Pão de Queijo,12.0
2024-04-09,Suco de Laranja,3.0
2024-04-09,Pão de Queijo,2.0
2024-04-09,Pão Integral (kg),1.44
2024-04-09,Torta de Morango (fatia),2.0
2024-04-09,Torta de Morango (fatia),3.0
2024-04-09,Biscoito Caseiro (kg),1.28
2024-04-09,Bolo de Cenoura (fatia),2.0
2024-04-09,Biscoito Caseiro (kg),2.22
2024-04-09,Café Expresso,15.0
2024-04-09,Torta de Morango (fatia),1.0
2024-04-09,Torta de Morango (fatia),1.0
2024-04-09,Café Expresso,24.0
2024-04-09,Pão Francês,8.0
2024-04-09,Pão Doce,3.0
2024-04-09,Café Expresso,25.0
2024-04-09,Pão Doce,4.0
2024-04-09,Torta de Morango (fatia),2.0
2024-04-09,Biscoito Caseiro (kg),2.26
2024-04-09,Pão Doce,2.0
2024-04-09,Café Expresso,5.0
2024-04-09,Café Expresso,17.0
2024-04-09,Biscoito Caseiro (kg),1.79
2024-04-09,Baguete,8.0
2024-04-09,Torta de Morango (fatia),3.0
2024-04-09,Suco de Laranja,5.0
2024-04-09,Biscoito Caseiro (kg),1.64
2024-04-09,Bolo de Cenoura (fatia),1.0
2024-04-09,Suco de Laranja,3.0
2024-04-09,Pão de Queijo,9.0
2024-04-09,Suco de Laranja,4.0
2024-04-09,Pão Integral (kg),1.0
2024-04-09,Café Expresso,7.0
2024-04-09,Suco de Laranja,4.0
2024-04-09,Pão Francês,15.0
2024-04-09,Bolo de Cenoura (fatia),2.0
2024-04-09,Torta de Morango (fatia),3.0
2024-04-09,Pão de Queijo,16.0
2024-04-09,Pão Integral (kg),1.05
2024-04-09,Pão Integral (kg),1.33
2024-04-10,Café Expresso,29.0
2024-04-10,Pão Integral (kg),1.03
2024-04-10,Torta de Morango (fatia),3.0
2024-04-10,Baguete,2.0
2024-04-10,Biscoito Caseiro (kg),0.44
2024-04-10,Café Expresso,9.0
2024-04-10,Pão Doce,7.0
2024-04-10,Pão Doce,3.0
2024-04-10,Baguete,5.0
2024-04-10,Pão Doce,2.0
2024-04-10,Pão de Queijo,29.0
2024-04-10,Bolo de Cenoura (fatia),1.0
2024-04-10,Suco de Laranja,8.0
2024-04-10,Pão Doce,8.0
2024-04-10,Pão de Queijo,14.0
2024-04-10,Pão Doce,2.0
2024-04-10,Bolo de Cenoura (fatia),1.0
2024-04-10,Suco de Laranja,8.0
2024-04-10,Suco de Laranja,8.0
2024-04-10,Biscoito Caseiro (kg),0.14
2024-04-10,Café Expresso,11.0
2024-04-10,Biscoito Caseiro (kg),0.12
2024-04-10,Bolo de Cenoura (fatia),2.0
2024-04-10,Biscoito Caseiro (kg),2.27
2024-04-10,Pão Francês,18.0
2024-04-10,Pão Doce,7.0
2024-04-10,Café Expresso,25.0
2024-04-10,Torta de Morango (fatia),1.0
2024-04-10,Pão Doce,2.0
2024-04-10,Pão Francês,25.0
2024-04-10,Pão Doce,3.0
2024-04-10,Pão Francês,2.0
2024-04-10,Pão de Queijo,8.0
2024-04-10,Baguete,8.0
2024-04-10,Baguete,7.0
2024-04-10,Bolo de Cenoura (fatia),1.0
2024-04-10,Café Expresso,23.0
2024-04-11,Pão Doce,1.0
2024-04-11,Baguete,5.0
2024-04-11,Café Expresso,2.0
2024-04-11,Biscoito Caseiro (kg),1.68
2024-04-11,Pão Doce,5.0
2024-04-11,Torta de Morango (fatia),1.0
2024-04-11,Pão Francês,2.0
2024-04-11,Bolo de Cenoura (fatia),3.0
2024-04-11,Pão Doce,1.0
2024-04-11,Torta de Morango (fatia),2.0
2024-04-11,Pão de Queijo,23.0
2024-04-11,Pão Integral (kg),0.96
2024-04-11,Bolo de Cenoura (fatia),2.0
2024-04-11,Biscoito Caseiro (kg),1.8
2024-04-11,Suco de Laranja,8.0
2024-04-11,Pão Francês,9.0
2024-04-11,Biscoito Caseiro (kg),0.38
2024-04-11,Pão Doce,2.0
2024-04-11,Pão Francês,5.0
2024-04-11,Pão de Queijo,18.0
2024-04-11,Bolo de Cenoura (fatia),2.0
2024-04-11,Baguete,3.0
2024-04-11,Baguete,6.0
2024-04-11,Pão Doce,1.0
2024-04-11,Pão Doce,5.0
2024-04-11,Pão Francês,6.0
2024-04-11,Biscoito Caseiro (kg),1.52
2024-04-11,Suco de Laranja,5.0
2024-04-11,Bolo de Cenoura (fatia),3.0
2024-04-11,Biscoito Caseiro (kg),1.7
2024-04-11,Bolo de Cenoura (fatia),1.0
2024-04-11,Café Expresso,3.0
2024-04-11,Pão Integral (kg),1.62
2024-04-11,Pão Doce,1.0
2024-04-11,Pão Integral (kg),2.05
2024-04-11,Biscoito Caseiro (kg),2.48
2024-04-11,Pão Doce,7.0
2024-04-11,Café Expresso,19.0
2024-04-11,Pão Doce,4.0
2024-04-11,Bolo de Cenoura (fatia),1.0
2024-04-11,Baguete,6.0
2024-04-11,Pão Doce,1.0
2024-04-11,Bolo de Cenoura (fatia),2.0
2024-04-11,Bolo de Cenoura (fatia),1.0
2024-04-11,Pão Integral (kg),0.89
2024-04-11,Baguete,3.0
2024-04-11,Baguete,2.0
2024-04-11,Biscoito Caseiro (kg),2.14
2024-04-12,Pão Francês,1.0
2024-04-12,Pão Francês,22.0
2024-04-12,Baguete,3.0
2024-04-12,Pão Integral (kg),1.85
2024-04-12,Torta de Morango (fatia),1.0
2024-04-12,Café Expresso,13.0
2024-04-12,Pão de Queijo,8.0
2024-04-12,Café Expresso,9.0
2024-04-12,Pão Integral (kg),1.29
2024-04-12,Suco de Laranja,8.0
2024-04-12,Biscoito Caseiro (kg),1.7
2024-04-12,Biscoito Caseiro (kg),2.3
2024-04-12,Pão Integral (kg),1.07
2024-04-12,Pão Integral (kg),2.29
2024-04-12,Pão Integral (kg),0.63
2024-04-12,Pão Francês,9.0
2024-04-12,Pão Francês,29.0
2024-04-12,Baguete,5.0
2024-04-12,Bolo de Cenoura (fatia),1.0
2024-04-12,Pão Francês,14.0
2024-04-12,Suco de Laranja,6.0
2024-04-12,Suco de Laranja,7.0
2024-04-12,Torta de Morango (fatia),3.0
2024-04-12,Biscoito Caseiro (kg),2.27
2024-04-12,Bolo de Cenoura (fatia),1.0
2024-04-12,Pão Integral (kg),0.97
2024-04-12,Pão de Queijo,26.0
2024-04-12,Pão Francês,5.0
2024-04-12,Café Expresso,2.0
2024-04-12,Bolo de Cenoura (fatia),1.0
2024-04-12,Pão Doce,5.0
2024-04-12,Pão de Queijo,3.0
2024-04-12,Biscoito Caseiro (kg),0.99
2024-04-12,Baguete,2.0
2024-04-12,Pão Doce,2.0
2024-04-12,Café Expresso,20.0
2024-04-12,Pão Integral (kg),0.3
2024-04-12,Torta de Morango (fatia),2.0
2024-04-13,Torta de Morango (fatia),1.0
2024-04-13,Torta de Morango (fatia),2.0
2024-04-13,Biscoito Caseiro (kg),0.11
2024-04-13,Pão de Queijo,5.0
2024-04-13,Baguete,4.0
2024-04-13,Suco de Laranja,8.0
2024-04-13,Café Expresso,24.0
2024-04-13,Suco de Laranja,7.0
2024-04-13,Pão de Queijo,30.0
2024-04-13,Bolo de Cenoura (fatia),1.0
2024-04-13,Pão Integral (kg),0.57
2024-04-13,Café Expresso,21.0
