data,produto,categoria,quantidade_vendida,preco_unitario,estoque_atual,estoque_minimo,dia_promocao,fornecedor
2025-05-10,Alface,Hortifruti,2,"2,67",61,21,True,Bebidas Épsilon
2025-05-10,Pão de Queijo,Padaria,6,"11,87",84,13,True,Laticínios Gama
2025-05-10,Água Sanitária,Limpeza,1,"21,59",88,42,True,Laticínios Gama
2025-05-10,Leite Integral,Laticínios,8,"11,93",140,35,False,Produtor Beta
2025-05-10,Arroz 5kg,Mercearia,6,"19,05",146,42,False,Laticínios Gama
2025-05-10,Café em Pó,Mercearia,8,"15,9",181,40,False,Limpeza Delta
2025-05-10,Queijo Muçarela,Laticínios,9,"12,01",118,36,False,Limpeza Delta
2025-05-10,Cenoura,Hortifruti,4,"9,72",31,11,False,Limpeza Delta
2025-05-10,Maçã,Hortifruti,14,"9,69",25,12,False,Produtor Beta
2025-05-10,Linguiça Suína,Carnes,4,"21,46",118,33,False,Laticínios Gama
2025-05-10,Refrigerante Cola,Bebidas,5,"26,57",48,22,False,Produtor Beta
2025-05-10,Manteiga,Laticínios,7,"29,5",94,38,False,Produtor Beta
2025-05-10,Iogurte Natural,Laticínios,7,"15,79",155,38,False,Laticínios Gama
2025-05-10,Batata Frita,Congelados,5,"13,17",155,32,False,Distribuidora Alfa
2025-05-10,Desinfetante,Limpeza,1,"11,34",100,38,False,Limpeza Delta
2025-05-11,Suco de Laranja,Bebidas,3,"36,59",131,22,False,Produtor Beta
2025-05-11,Torta Doce,Padaria,6,"10,79",88,13,True,Distribuidora Alfa
2025-05-11,Maçã,Hortifruti,9,"5,52",83,12,False,Limpeza Delta
2025-05-11,Desinfetante,Limpeza,7,"9,52",118,40,False,Produtor Beta
2025-05-11,Óleo de Soja,Mercearia,3,"23,34",173,43,False,Laticínios Gama
2025-05-11,Arroz 5kg,Mercearia,7,"5,51",121,44,False,Limpeza Delta
2025-05-11,Bolo de Fubá,Padaria,10,"4,08",78,12,False,Distribuidora Alfa
2025-05-11,Pão Francês,Padaria,2,"4,42",45,21,False,Limpeza Delta
2025-05-11,Cenoura,Hortifruti,5,"5,17",75,25,True,Distribuidora Alfa
2025-05-11,Pão Francês,Padaria,1,"3,81",89,24,False,Distribuidora Alfa
2025-05-11,Água Mineral,Bebidas,4,"36,23",136,34,False,Laticínios Gama
2025-05-11,Bolo de Fubá,Padaria,14,"8,24",49,14,True,Laticínios Gama
2025-05-11,Água Mineral,Bebidas,1,"22,17",79,22,False,Laticínios Gama
2025-05-11,Pizza Calabresa,Congelados,2,"19,21",136,37,False,Laticínios Gama
2025-05-11,Sabão em Pó,Limpeza,8,"17,46",122,37,False,Bebidas Épsilon
2025-05-11,Feijão Carioca,Mercearia,3,"5,97",181,33,False,Produtor Beta
2025-05-11,Detergente,Limpeza,9,"25,35",111,34,False,Produtor Beta
2025-05-11,Suco de Laranja,Bebidas,1,"15,28",70,27,False,Laticínios Gama
2025-05-11,Tomate,Hortifruti,2,"9,59",54,12,False,Distribuidora Alfa
2025-05-11,Torta Doce,Padaria,3,"6,14",28,22,False,Distribuidora Alfa
2025-05-11,Maçã,Hortifruti,15,"7,45",30,11,False,Distribuidora Alfa
2025-05-11,Tomate,Hortifruti,1,"11,96",86,25,True,Distribuidora Alfa
2025-05-11,Cenoura,Hortifruti,10,"11,49",41,14,False,Distribuidora Alfa
2025-05-11,Cerveja Pilsen,Bebidas,2,"18,83",101,31,False,Distribuidora Alfa
2025-05-12,Tomate,Hortifruti,10,"4,62",73,10,False,Distribuidora Alfa
2025-05-12,Banana,Hortifruti,12,"3,4",70,21,False,Produtor Beta
2025-05-12,Detergente,Limpeza,9,"14,35",132,36,False,Distribuidora Alfa
2025-05-12,Pizza Calabresa,Congelados,7,"29,11",114,37,False,Limpeza Delta
2025-05-12,Detergente,Limpeza,7,"22,45",143,38,False,Bebidas Épsilon
2025-05-12,Alface,Hortifruti,12,"5,7",21,15,True,Limpeza Delta
2025-05-12,Lasanha Bolonhesa,Congelados,2,"12,59",126,40,False,Limpeza Delta
2025-05-12,Cenoura,Hortifruti,5,"8,92",53,18,True,Limpeza Delta
2025-05-12,Torta Doce,Padaria,10,"10,0",83,19,False,Laticínios Gama
2025-05-12,Refrigerante Cola,Bebidas,3,"34,39",84,24,False,Produtor Beta
2025-05-12,Leite Integral,Laticínios,1,"16,64",196,32,False,Bebidas Épsilon
2025-05-12,Arroz 5kg,Mercearia,9,"21,13",145,30,False,Laticínios Gama
2025-05-12,Sabão em Pó,Limpeza,9,"22,39",150,34,False,Laticínios Gama
2025-05-12,Picanha,Carnes,5,"24,4",98,33,True,Produtor Beta
2025-05-12,Pão Francês,Padaria,13,"5,43",30,22,False,Laticínios Gama
2025-05-12,Pizza Calabresa,Congelados,10,"24,81",77,40,False,Laticínios Gama
2025-05-12,Óleo de Soja,Mercearia,9,"14,19",73,35,False,Limpeza Delta
2025-05-12,Banana,Hortifruti,6,"10,69",31,11,True,Distribuidora Alfa
2025-05-12,Lasanha Bolonhesa,Congelados,3,"11,28",164,43,False,Bebidas Épsilon
2025-05-12,Açúcar Refinado,Mercearia,9,"18,44",176,34,False,Distribuidora Alfa
2025-05-12,Tomate,Hortifruti,3,"7,64",70,24,False,Bebidas Épsilon
2025-05-12,Leite Integral,Laticínios,7,"10,66",179,30,False,Distribuidora Alfa
2025-05-12,Picanha,Carnes,1,"46,08",107,24,False,Limpeza Delta
2025-05-12,Pizza Calabresa,Congelados,8,"17,59",152,40,True,Produtor Beta
2025-05-12,Tomate,Hortifruti,9,"8,81",29,13,True,Laticínios Gama
2025-05-12,Feijão Carioca,Mercearia,6,"22,32",129,34,False,Distribuidora Alfa
2025-05-12,Café em Pó,Mercearia,7,"28,19",86,31,False,Distribuidora Alfa
2025-05-12,Pão Francês,Padaria,15,"9,21",73,25,False,Distribuidora Alfa
2025-05-12,Bolo de Fubá,Padaria,11,"7,87",33,13,False,Distribuidora Alfa
2025-05-12,Batata Frita,Congelados,4,"24,61",171,33,False,Produtor Beta
2025-05-12,Água Mineral,Bebidas,3,"39,42",93,28,False,Laticínios Gama
2025-05-12,Alface,Hortifruti,5,"8,84",85,11,False,Limpeza Delta
2025-05-12,Refrigerante Cola,Bebidas,4,"38,37",70,26,False,Laticínios Gama
2025-05-12,Cenoura,Hortifruti,8,"4,34",65,11,False,Produtor Beta
2025-05-12,Desinfetante,Limpeza,4,"29,74",114,43,True,Limpeza Delta
2025-05-12,Cenoura,Hortifruti,1,"3,42",43,22,True,Bebidas Épsilon
2025-05-12,Pizza Calabresa,Congelados,10,"17,51",171,44,False,Laticínios Gama
2025-05-12,Tomate,Hortifruti,7,"6,34",55,15,False,Limpeza Delta
2025-05-12,Maçã,Hortifruti,5,"5,82",40,24,False,Bebidas Épsilon
2025-05-12,Pão Francês,Padaria,3,"8,26",88,15,False,Bebidas Épsilon
2025-05-12,Batata Frita,Congelados,8,"15,94",82,39,True,Laticínios Gama
2025-05-12,Água Sanitária,Limpeza,2,"11,29",168,39,True,Produtor Beta
2025-05-12,Bolo de Fubá,Padaria,6,"7,82",41,10,False,Bebidas Épsilon
2025-05-12,Cenoura,Hortifruti,10,"11,35",22,23,False,Bebidas Épsilon
2025-05-12,Iogurte Natural,Laticínios,2,"6,79",167,32,False,Produtor Beta
2025-05-12,Café em Pó,Mercearia,8,"6,08",142,37,False,Laticínios Gama
2025-05-12,Água Mineral,Bebidas,3,"31,65",126,29,False,Distribuidora Alfa
2025-05-12,Refrigerante Cola,Bebidas,4,"20,62",140,26,True,Distribuidora Alfa
2025-05-12,Tomate,Hortifruti,11,"3,19",31,14,False,Laticínios Gama
2025-05-13,Bolo de Fubá,Padaria,9,"5,73",79,10,True,Produtor Beta
2025-05-13,Frango Filet,Carnes,3,"49,94",134,25,True,Bebidas Épsilon
2025-05-13,Cerveja Pilsen,Bebidas,4,"11,51",126,32,False,Distribuidora Alfa
2025-05-13,Pão de Queijo,Padaria,1,"9,22",85,20,False,Distribuidora Alfa
2025-05-13,Água Sanitária,Limpeza,6,"18,03",90,37,False,Limpeza Delta
2025-05-13,Linguiça Suína,Carnes,3,"19,32",135,31,False,Produtor Beta
2025-05-13,Arroz 5kg,Mercearia,3,"11,35",119,36,False,Limpeza Delta
2025-05-13,Pão de Queijo,Padaria,2,"7,88",69,24,False,Produtor Beta
2025-05-13,Frango Filet,Carnes,4,"37,68",62,24,False,Laticínios Gama
2025-05-13,Maçã,Hortifruti,14,"8,92",58,10,False,Distribuidora Alfa
2025-05-13,Lasanha Bolonhesa,Congelados,6,"24,82",116,43,True,Limpeza Delta
2025-05-13,Linguiça Suína,Carnes,4,"21,03",47,29,False,Distribuidora Alfa
2025-05-13,Suco de Laranja,Bebidas,1,"15,03",118,35,False,Produtor Beta
2025-05-13,Pão Francês,Padaria,11,"2,56",62,19,False,Distribuidora Alfa
2025-05-13,Frango Filet,Carnes,5,"40,66",120,27,True,Laticínios Gama
2025-05-13,Pão de Queijo,Padaria,8,"7,08",75,11,True,Produtor Beta
2025-05-13,Refrigerante Cola,Bebidas,1,"37,49",143,28,True,Limpeza Delta
2025-05-13,Pão de Queijo,Padaria,15,"3,4",23,10,False,Laticínios Gama
2025-05-13,Pizza Calabresa,Congelados,3,"14,64",192,41,False,Laticínios Gama
2025-05-13,Sabão em Pó,Limpeza,10,"17,1",94,40,False,Distribuidora Alfa
2025-05-13,Cenoura,Hortifruti,3,"4,82",45,10,False,Produtor Beta
2025-05-13,Água Sanitária,Limpeza,5,"26,91",176,44,True,Distribuidora Alfa
2025-05-13,Detergente,Limpeza,9,"27,04",100,33,True,Laticínios Gama
2025-05-13,Manteiga,Laticínios,6,"27,41",153,34,False,Produtor Beta
2025-05-13,Maçã,Hortifruti,4,"7,43",49,18,True,Bebidas Épsilon
2025-05-13,Torta Doce,Padaria,1,"8,71",89,19,False,Limpeza Delta
2025-05-14,Frango Filet,Carnes,3,"49,9",118,20,False,Bebidas Épsilon
2025-05-14,Linguiça Suína,Carnes,5,"32,77",63,34,True,Bebidas Épsilon
2025-05-14,Água Mineral,Bebidas,1,"20,19",127,31,True,Bebidas Épsilon
2025-05-14,Feijão Carioca,Mercearia,4,"7,99",130,42,False,Limpeza Delta
2025-05-14,Bolo de Fubá,Padaria,8,"5,0",25,20,False,Distribuidora Alfa
2025-05-14,Batata Frita,Congelados,5,"20,36",190,37,True,Distribuidora Alfa
2025-05-14,Refrigerante Cola,Bebidas,3,"42,87",128,32,False,Laticínios Gama
2025-05-14,Lasanha Bolonhesa,Congelados,5,"16,02",83,31,False,Laticínios Gama
2025-05-14,Água Sanitária,Limpeza,8,"18,74",168,44,False,Distribuidora Alfa
2025-05-14,Sabão em Pó,Limpeza,8,"27,47",106,32,False,Distribuidora Alfa
2025-05-14,Queijo Muçarela,Laticínios,9,"24,81",168,38,False,Laticínios Gama
2025-05-14,Sabão em Pó,Limpeza,4,"6,95",154,44,False,Distribuidora Alfa
2025-05-14,Sabão em Pó,Limpeza,10,"13,06",188,44,False,Produtor Beta
2025-05-14,Queijo Muçarela,Laticínios,4,"21,41",100,31,False,Bebidas Épsilon
2025-05-14,Pizza Calabresa,Congelados,9,"28,95",140,33,False,Produtor Beta
2025-05-14,Leite Integral,Laticínios,8,"9,85",102,36,False,Laticínios Gama
2025-05-14,Banana,Hortifruti,4,"8,38",58,18,False,Produtor Beta
2025-05-14,Água Mineral,Bebidas,4,"37,85",101,31,True,Produtor Beta
2025-05-14,Água Sanitária,Limpeza,9,"24,89",94,39,False,Limpeza Delta
2025-05-14,Açúcar Refinado,Mercearia,5,"25,43",79,41,False,Produtor Beta
2025-05-14,Torta Doce,Padaria,13,"2,78",18,10,False,Distribuidora Alfa
2025-05-14,Tomate,Hortifruti,8,"8,45",31,22,False,Produtor Beta
2025-05-14,Pizza Calabresa,Congelados,1,"19,91",114,32,False,Distribuidora Alfa
2025-05-14,Picanha,Carnes,3,"40,61",47,35,False,Laticínios Gama
2025-05-14,Lasanha Bolonhesa,Congelados,5,"18,68",193,30,False,Laticínios Gama
2025-05-14,Linguiça Suína,Carnes,5,"38,76",100,25,False,Produtor Beta
2025-05-14,Linguiça Suína,Carnes,5,"28,39",81,25,False,Distribuidora Alfa
2025-05-14,Pizza Calabresa,Congelados,8,"12,45",183,44,True,Laticínios Gama
2025-05-14,Iogurte Natural,Laticínios,3,"9,83",163,44,False,Produtor Beta
2025-05-14,Óleo de Soja,Mercearia,7,"22,72",77,31,False,Distribuidora Alfa
2025-05-14,Arroz 5kg,Mercearia,7,"21,83",102,38,False,Limpeza Delta
2025-05-14,Feijão Carioca,Mercearia,7,"8,02",134,38,False,Laticínios Gama
2025-05-14,Desinfetante,Limpeza,2,"27,1",170,41,False,Distribuidora Alfa
2025-05-14,Banana,Hortifruti,11,"7,11",25,24,False,Limpeza Delta
2025-05-14,Maçã,Hortifruti,1,"3,51",65,11,False,Produtor Beta
2025-05-14,Linguiça Suína,Carnes,4,"12,71",84,28,True,Produtor Beta
2025-05-14,Suco de Laranja,Bebidas,1,"37,14",94,34,True,Limpeza Delta
2025-05-14,Torta Doce,Padaria,6,"10,7",67,21,False,Laticínios Gama
2025-05-14,Batata Frita,Congelados,6,"29,44",122,32,False,Produtor Beta
2025-05-15,Cenoura,Hortifruti,9,"10,01",28,21,False,Distribuidora Alfa
2025-05-15,Desinfetante,Limpeza,7,"7,06",99,31,True,Limpeza Delta
2025-05-15,Queijo Muçarela,Laticínios,2,"22,6",108,35,False,Bebidas Épsilon
2025-05-15,Manteiga,Laticínios,10,"8,23",157,45,False,Laticínios Gama
2025-05-15,Batata Frita,Congelados,5,"6,12",137,32,False,Laticínios Gama
2025-05-15,Bolo de Fubá,Padaria,15,"11,78",22,19,False,Bebidas Épsilon
2025-05-15,Picanha,Carnes,4,"26,43",100,31,False,Limpeza Delta
2025-05-15,Pizza Calabresa,Congelados,2,"23,7",184,33,False,Produtor Beta
2025-05-15,Leite Integral,Laticínios,3,"10,74",137,35,True,Distribuidora Alfa
2025-05-15,Lasanha Bolonhesa,Congelados,7,"8,68",191,36,False,Distribuidora Alfa
2025-05-15,Manteiga,Laticínios,6,"24,62",129,45,False,Bebidas Épsilon
2025-05-15,Linguiça Suína,Carnes,5,"25,83",69,25,False,Laticínios Gama
2025-05-15,Linguiça Suína,Carnes,4,"40,82",123,35,False,Limpeza Delta
2025-05-15,Sabão em Pó,Limpeza,3,"11,02",133,35,True,Produtor Beta
2025-05-15,Lasanha Bolonhesa,Congelados,7,"12,71",151,34,False,Distribuidora Alfa
2025-05-15,Tomate,Hortifruti,2,"7,11",92,18,False,Produtor Beta
2025-05-15,Torta Doce,Padaria,2,"2,88",98,10,False,Laticínios Gama
2025-05-15,Linguiça Suína,Carnes,4,"39,02",114,32,False,Produtor Beta
2025-05-15,Pão de Queijo,Padaria,15,"11,45",26,24,False,Limpeza Delta
2025-05-15,Feijão Carioca,Mercearia,7,"29,33",167,42,False,Distribuidora Alfa
2025-05-15,Pão de Queijo,Padaria,15,"11,08",45,22,False,Bebidas Épsilon
